 ,Area,Mean,Min,Max,Major,Minor,Angle,Circ.,AR,Round,Solidity
1806,468,255,255,255,26.357,22.608,85.007,0.866,1.166,0.858,0.929
1807,429,255,255,255,26.452,20.650,138.279,0.890,1.281,0.781,0.941
1808,435,255,255,255,24.559,22.552,37.235,0.928,1.089,0.918,0.955
1809,341,255,255,255,21.531,20.165,98.017,0.931,1.068,0.937,0.938
1810,410,255,255,255,25.110,20.790,103.206,0.890,1.208,0.828,0.934
1811,262,255,255,255,20.849,16.000,155.162,0.892,1.303,0.767,0.924
1812,419,255,255,255,27.444,19.439,143.558,0.840,1.412,0.708,0.926
1813,490,255,255,255,27.889,22.370,138.739,0.901,1.247,0.802,0.947
1814,432,255,255,255,26.057,21.109,148.307,0.902,1.234,0.810,0.946
1815,466,255,255,255,25.597,23.180,101.455,0.894,1.104,0.906,0.943
1816,257,255,255,255,20.263,16.149,178.297,0.865,1.255,0.797,0.929
1817,491,255,255,255,27.931,22.383,77.813,0.885,1.248,0.801,0.943
1818,492,255,255,255,26.313,23.807,64.743,0.942,1.105,0.905,0.958
1819,230,255,255,255,20.564,14.241,45.876,0.837,1.444,0.693,0.909
1820,437,255,255,255,25.833,21.538,98.306,0.912,1.199,0.834,0.948
1821,480,255,255,255,26.639,22.942,38.904,0.935,1.161,0.861,0.950
1822,364,255,255,255,24.485,18.928,29.698,0.886,1.294,0.773,0.933
1823,451,255,255,255,25.046,22.927,169.807,0.935,1.092,0.915,0.950
1824,477,255,255,255,27.434,22.138,159.752,0.825,1.239,0.807,0.924
1825,417,255,255,255,25.020,21.220,72.082,0.878,1.179,0.848,0.937
1826,392,255,255,255,23.308,21.414,57.837,0.918,1.088,0.919,0.937
1827,480,255,255,255,25.171,24.280,100.326,0.914,1.037,0.965,0.947
1828,437,255,255,255,26.436,21.048,27.533,0.926,1.256,0.796,0.954
1829,417,255,255,255,24.463,21.704,13.541,0.925,1.127,0.887,0.945
1830,208,255,255,255,18.478,14.332,39.006,0.882,1.289,0.776,0.904
1831,391,255,255,255,23.379,21.294,26.948,0.876,1.098,0.911,0.924
1832,466,255,255,255,32.893,18.038,6.559,0.773,1.824,0.548,0.930
1833,454,255,255,255,25.793,22.412,108.752,0.866,1.151,0.869,0.932
1834,424,255,255,255,24.939,21.647,43.750,0.932,1.152,0.868,0.954
1835,410,255,255,255,25.605,20.388,175.079,0.922,1.256,0.796,0.952
1836,432,255,255,255,25.185,21.840,142.272,0.924,1.153,0.867,0.945
1837,399,255,255,255,24.014,21.155,174.660,0.883,1.135,0.881,0.938
1838,379,255,255,255,24.395,19.781,110.534,0.857,1.233,0.811,0.935
1839,445,255,255,255,25.470,22.245,87.217,0.877,1.145,0.873,0.940
1840,375,255,255,255,22.730,21.006,24.849,0.941,1.082,0.924,0.955
1841,440,255,255,255,25.292,22.150,19.504,0.913,1.142,0.876,0.950
1842,418,255,255,255,23.301,22.841,87.521,0.928,1.020,0.980,0.945
1843,391,255,255,255,23.087,21.564,32.582,0.937,1.071,0.934,0.948
1844,418,255,255,255,23.907,22.261,56.299,0.867,1.074,0.931,0.934
1845,469,255,255,255,28.835,20.709,156.769,0.880,1.392,0.718,0.953
1846,449,255,255,255,26.055,21.941,132.560,0.917,1.188,0.842,0.950
1847,383,255,255,255,24.129,20.210,167.078,0.875,1.194,0.838,0.928
1848,419,255,255,255,24.246,22.003,74.285,0.871,1.102,0.908,0.924
1849,254,255,255,255,21.631,14.951,134.336,0.848,1.447,0.691,0.915
1850,272,255,255,255,22.005,15.738,110.820,0.891,1.398,0.715,0.936
1851,396,255,255,255,23.048,21.876,80.060,0.879,1.054,0.949,0.931
1852,448,255,255,255,27.640,20.637,173.491,0.853,1.339,0.747,0.941
1853,402,255,255,255,23.941,21.379,68.124,0.892,1.120,0.893,0.936
1854,458,255,255,255,27.084,21.531,39.116,0.916,1.258,0.795,0.950
1855,304,255,255,255,21.830,17.731,166.198,0.879,1.231,0.812,0.933
1856,385,255,255,255,24.205,20.252,66.242,0.937,1.195,0.837,0.948
1857,414,255,255,255,24.615,21.415,100.831,0.931,1.149,0.870,0.956
1858,490,255,255,255,28.019,22.267,100.097,0.901,1.258,0.795,0.945
1859,415,255,255,255,25.182,20.983,105.343,0.866,1.200,0.833,0.936
1860,471,255,255,255,27.114,22.118,148.837,0.910,1.226,0.816,0.950
